,title,price,juso
44,2톤 미니굴삭기,1700만원,충북 충주시 호암동
74,LG 휘센 투인원 에어컨,"100,000원",충북 청주시 상당구 남일면
15,삼성 패럴 65인치 티브이 세탁기. 건조기에어컨 벽걸이셋트,150만원,충북 증평군 증평읍
34,최강야구 8/27 좌석,,충남 천안시 서북구 쌍용동
25,수납장,"5,000원",충남 아산시 배방읍
7,6인용 식탁 팜,"60,000원",전북 전주시 완산구 효자동2가
76,아이폰14프로맥스 256 S급 판매,120만원,전북 전주시 완산구 중화산동2가
95,아이폰14프로맥스 128G 퍼플 시연폰,"958,600원",전북 전주시 완산구 서신동
96,2in1에어컨,"50,000원",전북 전주시 덕진구 송천동2가
63,애플워치SE 패키지 8만원에 정리합니다,"80,000원",전북 전주시 덕진구 덕진동2가
94,컨테이너 이동식매장 푸드부스,"500,000원",전북 군산시 오식도동
50,냉장고,"50,000원",전북 군산시 수송동
41,콘테이너 판매합니다,300만원,전남 영암군 삼호읍
37,컴퓨터본체외 일괄 처분합니다,,전남 영암군 삼호읍
39,LG B477SM 480L 냉장고 팝니다~,"150,000원",전남 목포시 용해동
4,위닉스 제습기 재당근,"38,000원",인천 연수구 송도1동
29,아이패드 6세대 싸게판매합니다.,"185,000원",인천 연수구 동춘동
49,최강야구 8/27일 외야석 2연석 양도합니다!,,인천 남동구 논현동
3,참치세트,"6,000원",인천 남동구 구월1동
61,오늘가실분.,"100,000원",울산 중구 태화동
14,65인치 tv,"50,000원",세종시 한솔동
59,회전책장,"45,000원",세종시 소담동
27,베트남동 팝니다,"142,000원",세종시 다정동
2,엘지 휘센 에어컨판매,"50,000원",서울 중랑구 면목동
73,Sidiz의자 원가 40만원,"80,000원",서울 종로구 명륜1가
24,자전거 판매합니다~,"30,000원",서울 송파구 잠실동
65,65인치 벽걸이 TV 상태 최상,"300,000원",서울 성북구 길음동
52,에르메스 가방,1000만원,서울 성동구 옥수동
93,(재당근)프라다 prada 사은품 미니 복조리백,"30,000원",서울 서초구 서초동
86,플리츠플리즈 가디건 새상품,"30,000원",서울 마포구 상수동
48,무선 청소기,"5,000원",서울 마포구 노고산동
87,미싱,"15,000원",서울 동작구 상도제1동
6,컴퓨터 팔아요 ( 1060 ),"99,000원",서울 도봉구 쌍문제2동
20,삼성 냉장고 팔아요,"100,000원",서울 노원구 상계9동
18,베트남 동 팝니다,"150,000원",서울 노원구 상계1동
97,아이폰12미니 64gb 생활기스/배터리77%,"100,000원",서울 구로구 신도림동
12,8/27(일) 최강야구 티켓 원가양도합니다,"28,000원",서울 구로구 고척동
62,3년 안된 삼성 벽걸이 에어컨(실외기포함),"100,000원",서울 광진구 자양제2동
91,베트남 동 판매합니다!,"50,000원",서울 광진구 구의동
84,컬쳐랜드 문화상품권,"45,000원",서울 관악구 난곡동
19,마당용 간이 창고,"20,000원",서울 강북구 수유동
40,냉장고,"100,000원",서울 강남구 도곡1동
56,2023 베어그릭스 NEW 꾸덕메이커 유청분리기,"25,000원",서울 강남구 도곡1동
81,케이트 체인백,"70,000원",부산 해운대구 반여동
75,낚시 용품 판매,"80,000원",부산 연제구 연산동
57,프라다 정품 가방 싸게 팔아요.,"100,000원",부산 북구 구포제1동
46,진짜 한~~~~~~~번도 안 쓰고 그냥 저희 어머니가 학교에서 가져왔는데 전 이걸 쓰지 않아서 그냥 팝니다,"10,000원",부산 부산진구 초읍동
58,"70,000원에 가져가세요","70,000원",부산 남구 대연동
71,로봇랜드 종일권,"10,000원",부산 강서구 명지동
80,가덕도 펜션 1박2일 양도,"100,000원",부산 강서구 명지1동
60,회전책장 팔아요~~,"20,000원",대전 유성구 봉명동
32,4단 철제 선반 판매해요🗣️,"10,000원",대전 서구 탄방동
9,전자렌지,,대구 수성구 범어2동
26,7만원에 가져가세요..,"70,000원",대구 동구 율하동
70,냉장고,"100,000원",대구 동구 신서동
77,캐리어 냉장고 168L 팝니다,"130,000원",대구 달성군 다사읍
23,스팸 복합 1호 선물세트 판매합니다,"10,000원",대구 달서구 용산동
8,직접만든 농막입니다,1원,대구 남구 대명2동
79,케리어 듀얼 인버터 에어컨,"310,000원",광주 서구 쌍촌동
90,르라보 어나더13향수,"80,000원",광주 서구 쌍촌동
0,냉장고 싸게 정리,"100,000원",광주 광산구 우산동
66,혹시 필요하신 분!!,"20,000원",광주 광산구 수완동
42,세탁기 냉장고 팔아요,,경북 포항시 북구 죽도동
88,농막 이동식하우스 5평(초기 1100만),200만원,경북 경산시 갑제동
